10044,577	21,172
10045,576	20,793
10046,577	20,641
10047,578	20,945
10048,578	22,309
10049,578	64,317
10050,578	62,150
10051,579	58,326
10052,579	55,858
10053,579	53,609
10054,581	51,542
10055,581	50,323
10056,582	49,176
10057,582	48,473
10058,582	47,732
10059,581	47,251
10060,582	46,695
10061,583	47,510
10062,583	47,510
10063,583	47,103
10064,583	47,029
10065,584	47,066
10066,585	46,843
10067,585	46,880
10068,585	46,361
10069,585	46,917
10070,585	47,251
10071,585	46,436
10072,586	46,695
10073,586	46,621
10074,587	47,066
10075,588	46,917
10076,587	46,436
10077,587	46,917
10078,587	46,769
10079,588	46,917
10080,588	46,547
10081,589	46,806
10082,590	46,473
10083,591	46,473
10084,592	46,436
10085,592	46,361
10086,592	46,510
10087,592	46,139
10088,592	46,621
10089,593	46,176
10090,593	46,287
10091,593	46,213
10092,593	45,916
10093,592	46,102
10094,592	46,473
10095,592	46,139
10096,592	46,880
10097,592	46,436
10098,593	46,361
10099,594	45,954
10100,594	46,324
10101,595	46,658
10102,596	45,991
10103,596	46,436
10104,596	46,658
10105,596	46,361
10106,596	46,473
10107,597	46,176
10108,597	46,250
10109,598	46,213
10110,598	46,621
10111,597	46,806
10112,597	46,139
10113,598	46,065
10114,598	46,399
10115,598	46,473
10116,599	46,176
10117,600	46,028
10118,600	46,473
10119,601	46,361
10120,601	46,287
10121,601	46,102
